Ip const castspell
IP_CONST_CASTSPELL_* Constant Group
Itemproperty constants for adding "cast spell" to items.




Constants
Constant	Value	Description
IP_CONST_CASTSPELL_ACID_FOG_11	0	
IP_CONST_CASTSPELL_ACID_SPLASH_1	355	
IP_CONST_CASTSPELL_ACTIVATE_ITEM	359	
IP_CONST_CASTSPELL_AID_3	1	
IP_CONST_CASTSPELL_AMPLIFY_5	373	
IP_CONST_CASTSPELL_ANIMATE_DEAD_5	2	
IP_CONST_CASTSPELL_ANIMATE_DEAD_10	3	
IP_CONST_CASTSPELL_ANIMATE_DEAD_15	4	
IP_CONST_CASTSPELL_AURA_OF_VITALITY_13	321	
IP_CONST_CASTSPELL_AURA_VERSUS_ALIGNMENT_15	287	
IP_CONST_CASTSPELL_AURAOFGLORY_7	360	
IP_CONST_CASTSPELL_AWAKEN_9	303	
IP_CONST_CASTSPELL_BALAGARNSIRONHORN_7	367	
IP_CONST_CASTSPELL_BANE_5	380	
IP_CONST_CASTSPELL_BANISHMENT_15	361	
IP_CONST_CASTSPELL_BARKSKIN_3	5	
IP_CONST_CASTSPELL_BARKSKIN_6	6	
IP_CONST_CASTSPELL_BARKSKIN_12	7	
IP_CONST_CASTSPELL_BESTOW_CURSE_5	8	
IP_CONST_CASTSPELL_BIGBYS_CLENCHED_FIST_20	393	
IP_CONST_CASTSPELL_BIGBYS_CRUSHING_HAND_20	394	
IP_CONST_CASTSPELL_BIGBYS_FORCEFUL_HAND_15	391	
IP_CONST_CASTSPELL_BIGBYS_GRASPING_HAND_17	392	
IP_CONST_CASTSPELL_BIGBYS_INTERPOSING_HAND_15	390	
IP_CONST_CASTSPELL_BLADE_BARRIER_11	9	
IP_CONST_CASTSPELL_BLADE_BARRIER_15	10	
IP_CONST_CASTSPELL_BLESS_2	11	
IP_CONST_CASTSPELL_BLINDNESS_DEAFNESS_3	14	
IP_CONST_CASTSPELL_BLOOD_FRENZY_7	353	
IP_CONST_CASTSPELL_BOMBARDMENT_20	354	
IP_CONST_CASTSPELL_BULLS_STRENGTH_3	15	
IP_CONST_CASTSPELL_BULLS_STRENGTH_10	16	
IP_CONST_CASTSPELL_BULLS_STRENGTH_15	17	
IP_CONST_CASTSPELL_BURNING_HANDS_2	18	
IP_CONST_CASTSPELL_BURNING_HANDS_5	19	
IP_CONST_CASTSPELL_CALL_LIGHTNING_5	20	
IP_CONST_CASTSPELL_CALL_LIGHTNING_10	21	
IP_CONST_CASTSPELL_CAMOFLAGE_5	352	
IP_CONST_CASTSPELL_CATS_GRACE_3	25	
IP_CONST_CASTSPELL_CATS_GRACE_10	26	
IP_CONST_CASTSPELL_CATS_GRACE_15	27	
IP_CONST_CASTSPELL_CHAIN_LIGHTNING_11	28	
IP_CONST_CASTSPELL_CHAIN_LIGHTNING_15	29	
IP_CONST_CASTSPELL_CHAIN_LIGHTNING_20	30	
IP_CONST_CASTSPELL_CHARM_MONSTER_5	31	
IP_CONST_CASTSPELL_CHARM_MONSTER_10	32	
IP_CONST_CASTSPELL_CHARM_PERSON_2	33	
IP_CONST_CASTSPELL_CHARM_PERSON_10	34	
IP_CONST_CASTSPELL_CHARM_PERSON_OR_ANIMAL_3	35	
IP_CONST_CASTSPELL_CHARM_PERSON_OR_ANIMAL_10	36	
IP_CONST_CASTSPELL_CIRCLE_OF_DEATH_11	37	
IP_CONST_CASTSPELL_CIRCLE_OF_DEATH_15	38	
IP_CONST_CASTSPELL_CIRCLE_OF_DEATH_20	39	
IP_CONST_CASTSPELL_CIRCLE_OF_DOOM_9	40	
IP_CONST_CASTSPELL_CIRCLE_OF_DOOM_15	41	
IP_CONST_CASTSPELL_CIRCLE_OF_DOOM_20	42	
IP_CONST_CASTSPELL_CLAIRAUDIENCE_CLAIRVOYANCE_5	43	
IP_CONST_CASTSPELL_CLAIRAUDIENCE_CLAIRVOYANCE_10	44	
IP_CONST_CASTSPELL_CLAIRAUDIENCE_CLAIRVOYANCE_15	45	
IP_CONST_CASTSPELL_CLARITY_3	46	
IP_CONST_CASTSPELL_CLOUDKILL_9	48	
IP_CONST_CASTSPELL_COLOR_SPRAY_2	49	
IP_CONST_CASTSPELL_CONE_OF_COLD_9	50	
IP_CONST_CASTSPELL_CONE_OF_COLD_15	51	
IP_CONST_CASTSPELL_CONFUSION_5	52	
IP_CONST_CASTSPELL_CONFUSION_10	53	
IP_CONST_CASTSPELL_CONTAGION_5	54	
IP_CONST_CASTSPELL_CONTINUAL_FLAME_7	350	
IP_CONST_CASTSPELL_CONTROL_UNDEAD_13	55	
IP_CONST_CASTSPELL_CONTROL_UNDEAD_20	56	
IP_CONST_CASTSPELL_CREATE_GREATER_UNDEAD_15	57	
IP_CONST_CASTSPELL_CREATE_GREATER_UNDEAD_16	58	
IP_CONST_CASTSPELL_CREATE_GREATER_UNDEAD_18	59	
IP_CONST_CASTSPELL_CREATE_UNDEAD_11	60	
IP_CONST_CASTSPELL_CREATE_UNDEAD_14	61	
IP_CONST_CASTSPELL_CREATE_UNDEAD_16	62	
IP_CONST_CASTSPELL_CREEPING_DOOM_13	304	
IP_CONST_CASTSPELL_CURE_CRITICAL_WOUNDS_7	63	
